date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2024-09-01,2024-9,897.0,11.0,0.012263099219620958,809.0,0.0,0.0,1706.0,0.5257913247362251,0.4742086752637749,1.4568807399960786,,1.4568807399960786,0.7660152542652301,77.5425650362994,167.54276413278845,77.5425650362994
2024-10-01,2024-10,917.0,10.0,0.010905125408942203,750.0,0.0,0.0,1667.0,0.5500899820035993,0.44991001799640074,1.2955507324045628,,1.2955507324045628,0.7126694790731758,72.14245293773614,148.98964947666425,72.14245293773614
2024-11-01,2024-11,903.0,7.0,0.007751937984496124,784.0,0.0,0.0,1687.0,0.5352697095435685,0.46473029045643155,0.9209457531899101,,0.9209457531899101,0.4929543658153461,49.901024500915405,105.90969656596987,49.901024500915405
2024-12-01,2024-12,955.0,8.0,0.008376963350785341,766.0,0.0,0.0,1721.0,0.5549099360836722,0.4450900639163277,0.995200018106793,,0.995200018106793,0.55224637843811,55.90306521659785,114.44901241474442,55.90306521659785
2025-01-01,2025-1,932.0,6.0,0.006437768240343348,837.0,0.0,0.0,1769.0,0.5268513284341436,0.47314867156585644,0.7648197564044962,,0.7648197564044962,0.4029463046743869,40.78964467400999,87.95504843568743,40.78964467400999
2025-02-01,2025-2,879.0,5.0,0.005688282138794084,857.0,0.0,0.0,1736.0,0.506336405529954,0.4936635944700461,0.6757793069482276,,0.6757793069482276,0.342171665211689,34.637519886868134,77.71530635386868,34.637519886868134
2025-03-01,2025-3,973.0,12.0,0.012332990750256937,899.0,0.0,0.0,1872.0,0.5197649572649573,0.48023504273504275,1.4651839937697644,,1.4651839937697644,0.7615512959070411,77.0906852866706,168.49764674627065,77.0906852866706
2025-04-01,2025-4,860.0,6.0,0.0069767441860465115,746.0,0.0,0.0,1606.0,0.5354919053549191,0.46450809464508097,0.8288511778709191,,0.8288511778709191,0.4438430964937674,44.929565023862814,95.31872690937288,44.929565023862814
2025-05-01,2025-5,884.0,14.0,0.01583710407239819,833.0,0.0,0.0,1717.0,0.5148514851485149,0.48514851485148514,1.881479672240925,,1.881479672240925,0.9686826035299813,98.05827412119312,216.3720723960878,98.05827412119312
2025-06-01,2025-6,1048.0,18.0,0.01717557251908397,830.0,0.0,0.0,1878.0,0.5580404685835996,0.44195953141640043,2.0404924035371867,,2.0404924035371867,1.1386773370111671,115.26658375131582,234.65869792574625,115.26658375131582
2025-07-01,2025-7,1262.0,20.0,0.01584786053882726,848.0,0.0,0.0,2110.0,0.5981042654028436,0.4018957345971564,1.8827575619888814,,1.8827575619888814,1.1260853285450085,113.99191378882098,216.51903101442338,113.99191378882098
2025-08-01,2025-8,1090.0,5.0,0.0045871559633027525,775.0,1.0,0.0012903225806451613,1865.0,0.5844504021447721,0.4155495978552279,0.5449633126674239,,0.5449633126674239,0.31850402724262306,32.241680709706735,62.671334206468416,32.241680709706735
2025-09-01,2025-9,879.0,12.0,0.013651877133105802,642.0,0.0,0.0,1521.0,0.5779092702169625,0.42209072978303747,1.6218703366757463,,1.6218703366757463,0.9372939026548198,94.88084342974844,186.51673524928484,94.88084342974844
2025-10-01,2025-10,1025.0,11.0,0.010731707317073172,726.0,0.0,0.0,1751.0,0.5853797829811537,0.4146202170188464,1.2749483158794952,,1.2749483158794952,0.7463289684617262,75.54975211417862,146.62035066059636,75.54975211417862
2025-11-01,2025-11,902.0,9.0,0.009977827050997782,628.0,0.0,0.0,1530.0,0.5895424836601307,0.41045751633986927,1.1853858308796958,,1.1853858308796958,0.6988353068323436,70.74204061600362,136.32057396129824,70.74204061600362
2025-12-01,2025-12,1236.0,13.0,0.010517799352750809,722.0,0.0,0.0,1958.0,0.6312563840653729,0.3687436159346272,1.2495356214397082,,1.2495356214397082,0.7887773381509088,79.84673634390602,143.69786500091544,79.84673634390602
