,code,title,keywords
126,05.3.1.1,Major kitchen appliances (D),"refrigerators, dual temperature refrigerators and freezers dishwashers electric, gas, oil, ceramic and induction panels hobs spit roasters electric gas and convection ovens and combined cooker and microwave ovens extractor hoods"
127,05.3.1.2,Major laundry appliances (D),"washing machines, dryers, drum dryers, drying cabinets and drying radiators ironing machines and electric mangles"
128,05.3.1.3,Heaters and air conditioners (D),"air conditioners, humidifiers, space heaters, water heaters and ventilators"
129,05.3.1.4,Cleaning equipment (D),"vacuum cleaners steam cleaning machines carpet shampooing machines and machines for scrubbing, waxing and polishing floors"
130,05.3.1.9,Other major household appliances (D),"other major household appliances, such as safes, sewing machines, knitting machines and water softeners"
131,05.3.2.1,Small appliances for the cooking and processing of food (SD),"multifunction machines, food mixers, blenders and blenders with heating elements slicing machines rice cookers and slow cookers toasters sandwich grills meat and fish grills deep fryers ice cream makers sorbet makers yoghurt makers hot plates can openers electric knives non electric appliances for the cooking and processing of food, such as puree makers, mincers, hot plates and household scales"
132,05.3.2.2,Small appliances for the preparation of beverages (SD),"coffee machines tea makers water boilers kettles coffee mills sparkling water makers juice extractors non electric appliances for the preparation of beverages, such as coffee mills, sparkling water makers and juice extractors"
133,05.3.2.9,Other small household appliances (SD),electric irons fans electric blankets other non electric household appliances
135,05.4.0.1,"Glassware, crystal ware, ceramic ware and china ware (SD)","glassware, crystal ware, ceramic ware and china ware of the kind used for table, kitchen, bathroom or toilet"
136,05.4.0.2,"Cutlery, flatware and silverware (SD)","cutlery, flatware and silverware"
137,05.4.0.3,Kitchen utensils and articles (SD),"kitchen utensils of all materials, such as saucepans, stewpots, pressure cookers and frying pans household articles of all materials, such as containers for bread, coffee, spices and so on, waste bins, waste paper baskets, laundry baskets, portable money boxes and strongboxes, towel rails, bottle racks, letter boxes, feeding bottles, thermos flasks and iceboxes"
139,05.5.1.0,Motorized tools and equipment (D),"electric drills, percussion drill, electric saws, electric sanders garden tractors, chain saws, lawn mowers, clipper for lawn, hedge cutters, cultivators water pumps electric screwdrivers"
140,05.5.2.1,Non-motorized tools (SD),"saws, hammers, screwdriver, wrenches, spanners, pliers, trimming knives, rasps and files power shears, wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks, scythes, sickles and secateurs ladders and steps"
141,05.5.2.2,Miscellaneous accessories (SD),"fittings for radiators and fireplaces, other miscellaneous accessories for the house curtain rails, curtain rods of wood or plastics, string curtain rods, carpet rods, hooks, etc or for the garden chains, grids, stakes and hoop segments for fencing and bordering small electric accessories, such as lamp bulbs, fluorescent lighting tubes, torches, flashlights, hand lamps, electric accessories as fuses, and electric batteries and chargers for general use"
143,05.6.1.1,Household cleaning and maintenance products (ND),"detergents, hand and machine dishwashing detergent, scouring powders, disinfectant bleaches, softeners, conditioners and stain removers general purpose cleansers, window cleaning products, unblocking agents and disinfectants floor waxes and polishes polishes, creams and other shoe cleaning items e g , shoe brushes dustpans, dusting brushes and dusters cloths, floor cloths and chamois leathers dish brushes, household sponges, scourers and steel wool vacuum cleaner bags pool cleaning chemicals and water treatment chemicals"
144,05.6.1.9,Other non-durable household goods (ND),"insecticides, pesticides, fungicides and distilled water filters, tablecloths and table napkins, kitchen papers, baking parchment rolls, kitchen film, aluminium foils and doilies disposable plates, cups and cutlery candles, lamp wicks, methylated spirits, plastic bags and garbage bags matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine rubber gloves and gardening gloves"
147,06.1.1.1,"Medicines, vaccines and other pharmaceutical preparations (ND)","all medicines, including branded and generic products, used to prevent, diagnose and treat illnesses, diseases and injuries pharmaceutical preparations used to treat illnesses, diseases and injuries e g , extemporaneous ointments, syrups, capsules and other galenic substances prepared on prescription medicinal soap vaccines, hormones, oral contraceptives and other pharmaceutical products used to prevent, diagnose and treat illnesses, diseases and injuries vitamin and mineral supplements fluids required for dialysis, as well as gases used in health care, such as oxygen, when purchased by the patient directly service fees charged by pharmacists for dispensing medicines"
148,06.1.1.2,Herbal medicines and homeopathic products (ND),"herbs, herbal materials, herbal preparations and finished herbal products that contain, as active ingredients, parts of plants, other plant materials or combinations thereof which are generally used in traditional and complementary medicine homeopathic medicines prepared in accordance with a homeopathic manufacturing procedure described in a pharmacopeia in official use or in other official documents and which may contain a number of homeopathic preparations"
